Código,Descripción,Tipo Descripción
A032,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,Diagnóstico (CIEX)
A033,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,Diagnóstico (CIEX)
A010,FIEBRE TIFOIDEA,Diagnóstico (CIEX)
A0109,FIEBRE TIFOIDEA CON DIARREA,Diagnóstico (CIEX)
A011,FIEBRE PARATIFOIDEA A,Diagnóstico (CIEX)
A020,ENTERITIS DEBIDA A SALMONELLA,Diagnóstico (CIEX)
A021,SEPTICEMIA DEBIDA A SALMONELLA,Diagnóstico (CIEX)
A022,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,Diagnóstico (CIEX)
A012,FIEBRE PARATIFOIDEA B,Diagnóstico (CIEX)
A013,FIEBRE PARATIFOIDEA C,Diagnóstico (CIEX)
A000,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE",Diagnóstico (CIEX)
A029,"INFECCION DEBIDA A SALMONELA, NO ESPECIFICADA",Diagnóstico (CIEX)
A030,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,Diagnóstico (CIEX)
A028,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,Diagnóstico (CIEX)
A038,OTRAS SHIGELOSIS,Diagnóstico (CIEX)
A009,COLERA,Diagnóstico (CIEX)
A039,SHIGUELLOSIS SIN ESPECIFICACION,Diagnóstico (CIEX)
A040,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA,Diagnóstico (CIEX)
A001,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR",Diagnóstico (CIEX)
A014,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",Diagnóstico (CIEX)
A031,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,Diagnóstico (CIEX)
A041,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA,Diagnóstico (CIEX)
A044,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,Diagnóstico (CIEX)
A045,ENTERITIS DEBIDA A CAMPYLOBACTER,Diagnóstico (CIEX)
A046,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,Diagnóstico (CIEX)
A043,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA,Diagnóstico (CIEX)
A047,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,Diagnóstico (CIEX)
A042,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,Diagnóstico (CIEX)
A048,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,Diagnóstico (CIEX)
A049,"INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA",Diagnóstico (CIEX)
A050,INTOXICACION ALIMENTARIA ESTAFILOCOCICA,Diagnóstico (CIEX)
A051,BOTULISMO,Diagnóstico (CIEX)
A052,INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS CLOSTRIDIUM WELCHII],Diagnóstico (CIEX)
A054,INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS,Diagnóstico (CIEX)
A058,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS,Diagnóstico (CIEX)
A065,ABSCESO AMEBIANO DEL PULMON (J99.8*),Diagnóstico (CIEX)
A066,ABSCESO AMEBIANO DEL CEREBRO (G07*),Diagnóstico (CIEX)
A059,"INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA",Diagnóstico (CIEX)
